Title: 350 micron Polarimetry from the Caltech Submillimeter Observatory  
Authors: Dotson J.L., Vaillancourt J.E., Kirby L., Dowell C.D., Hildebrand R.H.,
         Davidson J.A.
Table: Data
================================================================================
Byte-by-byte Description of file: apjs333144t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---    Name  Object name
  17- 20 I4     arcsec oRA   Right Ascension offset from center 
  22- 25 I4     arcsec oDE   Declination offset from center
  27- 31 F5.1   pix    oX    X pixel offset from center (1) 
  33- 37 F5.1   pix    oY    Y pixel offset from center (1)
  39- 43 F5.2   %      P     Polarization magnitude
  45- 49 F5.2   %    e_P     Uncertainty in P
  51- 55 F5.1   deg    PA    Polarization position angle; degrees east of north
  57- 62 F6.1   deg  e_PA    Uncertainty in PA
  64- 69 F6.1   Jy     Int   Source intensity in units of Jy/beam
  71- 74 F4.1   Jy   e_Int   Uncertainty in Int in units of Jy/beam
  76- 78 I3     ---    Num   Number of measurements
--------------------------------------------------------------------------------
Note (1): oX is parallel to RA, except M17 is 16 degrees CW from RA and M82 
          is 24 degrees CW from RA.  oY is parallel to Dec, except M17 is 
          16 degrees CW from Dec and M82 is 24 degrees CW from Dec. Pixel 
          offsets in the x- and y-directions are given in units of the pixel
          center-to-center spacing, 17.8 arcseconds. Right Ascension and 
          Declination offsets are calculated using this spacing and are 
          rounded to the nearest arcsecond; offsets are given with respect to 
Sgr_B1            53   53   3.0   3.0  3.53  0.65 117.9    5.2  157.6  5.0   3 
Sgr_B1            53   71   3.0   4.0  1.81  0.32 127.7    5.1  142.7  2.3   6 
Sgr_B1            53   89   3.0   5.0  2.26  0.44 140.4    5.6  137.0  2.0   6 
Sgr_B1            53  107   3.0   6.0  2.55  0.40 115.4    4.5  147.8  2.4   6 
Sgr_B1            53  125   3.0   7.0  1.18  0.40 127.9    9.9  165.0  4.8   3 
Sgr_B1            53  142   3.0   8.0  2.12  0.85 132.5   11.4  154.0  4.0   3 
Sgr_B1            53  160   3.0   9.0  0.61  0.52 147.9   24.3  124.3  4.3   3 
Sgr_B1            71   89   4.0   5.0  1.49  0.56 105.8   10.9  138.8  4.8   3 
Sgr_B1            71  107   4.0   6.0  1.11  0.41 105.1   10.5  119.2  3.9   3 
Sgr_B1            71  125   4.0   7.0  1.00  0.55 131.6   15.9  150.1  4.2   3 
Sgr_B1            71  142   4.0   8.0  2.81  0.89 102.2    9.1  136.0  4.1   3 
Sgr_B2           -89 -126  -5.0  -7.1  2.55  1.34 104.9   15.1  222.0  5.0  14 
Sgr_B2           -89 -108  -5.0  -6.1  0.78  1.22  20.4   44.6  243.2  5.0  14 
Sgr_B2           -89  -90  -5.0  -5.1  1.04  1.09  50.8   30.0  278.8  4.8  14 
Sgr_B2           -89  -72  -5.0  -4.1  3.01  0.90 106.0    8.6  312.0  4.7  14 
Sgr_B2           -89  -18  -5.0  -1.0  0.82  0.25  85.8    8.8  547.0  2.9   7 
Sgr_B2           -89    0  -5.0  -0.0  1.11  0.24  77.8    6.1  564.2  3.0   7 
Sgr_B2           -89   18  -5.0   1.0  0.50  0.23  74.6   13.0  573.2  3.0   7 
Sgr_B2           -89   36  -5.0   2.0  0.93  0.25  85.7    7.8  536.9  2.9   7 
Sgr_B2           -71 -144  -4.0  -8.1  1.37  1.15  83.7   23.8  248.9  4.8  14 
Sgr_B2           -71 -126  -4.0  -7.1  1.99  1.24 111.9   18.7  248.0  5.2  14 
Sgr_B2           -71 -108  -4.0  -6.1  2.63  1.19 107.2   12.9  263.3  4.9  14 
Sgr_B2           -71  -90  -4.0  -5.1  2.26  0.86  92.6   10.9  290.6  4.8  14 
Sgr_B2           -71  -72  -4.0  -4.1  1.05  0.78 108.5   21.8  378.7  4.7  14 
Sgr_B2           -71  -55  -4.0  -3.1  1.17  0.58  86.6   14.2  449.0  4.6  14 
Sgr_B2           -71  -36  -4.0  -2.0  1.11  0.25  89.4    6.5  629.0  3.0   7 
Sgr_B2           -71  -18  -4.0  -1.0  1.37  0.21  88.0    4.4  723.3  2.9   7 
Sgr_B2           -71    0  -4.0  -0.0  0.83  0.17  83.7    5.9  781.4  3.1   7 
Sgr_B2           -71   18  -4.0   1.0  1.23  0.17  84.3    3.9  782.3  3.2   7 
Sgr_B2           -71   36  -4.0   2.0  0.79  0.19 104.5    7.2  722.2  3.0   7 
Sgr_B2           -71   53  -4.0   3.0  0.67  0.21 114.7    9.2  661.8  3.1   7 
Sgr_B2           -56   -5  -3.1  -0.3  0.57  0.08  85.9    3.9  856.3  1.9  10 
Sgr_B2           -56   12  -3.1   0.7  0.67  0.05  90.0    2.2  909.7  1.0  20 
Sgr_B2           -56   30  -3.1   1.7  0.68  0.05 106.8    2.1  876.7  0.8  25 
Sgr_B2           -56   48  -3.1   2.7  0.57  0.05 118.6    2.5  893.2  5.9  29 
Sgr_B2           -56   66  -3.1   3.7  0.34  0.09 127.5    6.4  799.2  2.4  26 
Sgr_B2           -56   84  -3.1   4.7  0.34  0.14 148.7   12.0  737.2  3.3  19 
Sgr_B2           -56  101  -3.1   5.7  0.84  0.33 160.6   11.3  578.5  4.1  14 
Sgr_B2           -56  119  -3.1   6.7  2.04  0.65 163.9    9.1  415.7  8.1   7 
Sgr_B2           -53 -144  -3.0  -8.1  2.65  0.52 114.1    5.8  284.0  3.2  16 
Sgr_B2           -53 -126  -3.0  -7.1  1.38  0.26 111.6    5.4  295.1  1.4  31 
Sgr_B2           -53 -108  -3.0  -6.1  1.42  0.24 103.7    5.0  318.5  1.4  30 
Sgr_B2           -53  -90  -3.0  -5.1  1.49  0.22  96.9    4.3  357.6  1.3  30 
Sgr_B2           -53  -72  -3.0  -4.1  1.44  0.19  98.4    3.9  442.8  1.6  28 
Sgr_B2           -53  -55  -3.0  -3.1  0.93  0.47  90.8   14.4  569.5  4.5  14 
Sgr_B2           -53  -36  -3.0  -2.0  0.85  0.22  94.1    6.2  744.5  3.4  29 
Sgr_B2           -53  -18  -3.0  -1.0  0.65  0.14  91.6    1.7  944.8  2.2  59 
Sgr_B2           -53    0  -3.0  -0.0  0.66  0.07  89.4    2.2 1103.8  2.1  61 
Sgr_B2           -53   18  -3.0   1.0  0.83  0.05 102.0    2.0 1169.7  7.2  65 
Sgr_B2           -53   36  -3.0   2.0  0.85  0.10 119.5    2.4 1123.5  9.1  40 
Sgr_B2           -53   53  -3.0   3.0  0.08  0.18 121.2   52.7 1091.4 21.8  11 
Sgr_B2           -38  -23  -2.1  -1.3  0.62  0.07 100.3    3.3  948.4  2.1  10 
Sgr_B2           -38   -5  -2.1  -0.3  0.42  0.04  80.0    2.5 1222.9  0.8  29 
Sgr_B2           -38   12  -2.1   0.7  0.63  0.03  94.7    1.3 1353.5  0.6  40 
Sgr_B2           -38   30  -2.1   1.7  0.64  0.03 106.9    1.4 1304.6  4.0  47 
Sgr_B2           -38   48  -2.1   2.7  0.44  0.03 130.4    2.4 1163.1  1.5  58 
Sgr_B2           -38   66  -2.1   3.7  0.42  0.04 131.0    2.8 1014.7  1.5  56 
Sgr_B2           -38   84  -2.1   4.7  0.33  0.06 165.5    5.8  828.8  1.4  43 
Sgr_B2           -38  101  -2.1   5.7  0.46  0.13  15.1    8.2  644.9  2.4  34 
Sgr_B2           -38  119  -2.1   6.7  1.34  0.41   1.7    7.2  438.9 15.0  19 
Sgr_B2           -38  137  -2.1   7.7  2.87  1.22  22.7   12.2  395.1 12.5   3 
Sgr_B2           -36 -144  -2.0  -8.1  1.04  0.17 118.0    4.6  424.3  1.4  33 
Sgr_B2           -36 -126  -2.0  -7.1  0.83  0.16 118.7    5.6  361.7  1.1  38 
Sgr_B2           -36 -108  -2.0  -6.1  0.90  0.15 106.1    5.0  387.9  1.0  38 
Sgr_B2           -36  -90  -2.0  -5.1  0.73  0.14 111.6    5.5  446.9  1.0  38 
Sgr_B2           -36  -72  -2.0  -4.1  0.66  0.13 106.8    5.7  544.7  1.1  34 
Sgr_B2           -36  -55  -2.0  -3.1  0.77  0.12  97.2    4.4  739.8  1.6  29 
Sgr_B2           -36  -53  -2.0  -3.0  0.87  0.10  87.4    6.3  754.2  3.5  23 
Sgr_B2           -36  -36  -2.0  -2.0  0.84  0.07  99.8    3.0 1160.1  1.7  70 
Sgr_B2           -36  -18  -2.0  -1.0  0.48  0.04  93.4    2.1 1423.4  6.5  90 
Sgr_B2           -36    0  -2.0  -0.0  0.48  0.04  98.3    3.4 1657.4  6.9  91 
Sgr_B2           -36   18  -2.0   1.0  0.84  0.06 106.6    2.0 1702.3  7.2  91 
Sgr_B2           -36   36  -2.0   2.0  0.74  0.08 122.3    2.3 1419.2  7.0  75 
Sgr_B2           -36   53  -2.0   3.0  0.81  0.06 127.2    2.2 1279.7 10.9  39 
Sgr_B2           -36   71  -2.0   4.0  0.68  0.30 121.1   12.6 1303.3 36.8   4 
Sgr_B2           -20  -23  -1.1  -1.3  0.41  0.04  97.5    2.7 1433.8  1.2  19 
Sgr_B2           -20   -5  -1.1  -0.3  0.36  0.02  89.4    2.0 1776.7  0.8  35 
Sgr_B2           -20   12  -1.1   0.7  0.50  0.02 113.1    1.3 1891.8  0.8  40 
Sgr_B2           -20   30  -1.1   1.7  0.57  0.03 124.1    1.3 1553.3  2.5  54 
Sgr_B2           -20   48  -1.1   2.7  0.62  0.03 129.9    1.2 1556.7  1.1  72 
Sgr_B2           -20   66  -1.1   3.7  0.43  0.03 151.4    2.0 1218.4  0.9  78 
Sgr_B2           -20   84  -1.1   4.7  0.49  0.08 176.1    5.8  929.6  0.9  63 
Sgr_B2           -20  101  -1.1   5.7  0.67  0.18  22.9    7.9  746.3  2.3  48 
Sgr_B2           -20  119  -1.1   6.7  0.71  0.23  13.5    9.4  490.4 15.1  32 
Sgr_B2           -20  137  -1.1   7.7  1.68  0.55  20.4    9.5  379.3 16.0  12 
Sgr_B2           -18 -161  -1.0  -9.1  2.99  0.32 121.8    3.1  372.1  5.2   6 
Sgr_B2           -18 -144  -1.0  -8.1  1.51  0.15 129.0    2.9  405.9  1.0  38 
Sgr_B2           -18 -126  -1.0  -7.1  0.71  0.15 134.1    5.9  435.1  1.1  38 
Sgr_B2           -18 -108  -1.0  -6.1  0.43  0.13 103.8    8.8  471.5  1.1  38 
Sgr_B2           -18  -90  -1.0  -5.1  0.52  0.10 109.2    5.7  593.8  1.0  38 
Sgr_B2           -18  -72  -1.0  -4.1  0.60  0.08 108.0    4.0  741.1  1.0  38 
Sgr_B2           -18  -55  -1.0  -3.1  0.35  0.08  99.3    6.4 1002.2  1.4  33 
Sgr_B2           -18  -53  -1.0  -3.0  0.57  0.08  90.3    3.1 1035.7  2.9  39 
Sgr_B2           -18  -36  -1.0  -2.0  0.47  0.02  91.1    2.4 1532.9  1.4  86 
Sgr_B2           -18  -18  -1.0  -1.0  0.37  0.03  86.2    2.8 1915.4  7.2  89 
Sgr_B2           -18    0  -1.0  -0.0  0.36  0.04 121.2    2.7 2409.6  7.7  91 
Sgr_B2           -18   18  -1.0   1.0  0.58  0.06 118.2    2.5 2039.3  7.5  91 
Sgr_B2           -18   36  -1.0   2.0  0.81  0.06 128.6    1.6 1869.5  7.3  90 
Sgr_B2           -18   53  -1.0   3.0  0.68  0.05 131.4    2.6 1845.4  8.6  52 
Sgr_B2           -18   71  -1.0   4.0  0.94  0.37 168.1   11.2 1369.1 35.3   4 
Sgr_B2            -3  -23  -0.1  -1.3  0.43  0.04  47.7    2.6 1632.2  1.2  17 
Sgr_B2            -3   -5  -0.1  -0.3  0.09  0.02  63.0    6.6 2572.0  1.2  35 
Sgr_B2            -3   12  -0.1   0.7  0.30  0.02 161.4    2.0 2404.7  1.0  40 
Sgr_B2            -3   30  -0.1   1.7  0.32  0.02 160.7    2.1 1740.7  1.6  61 
Sgr_B2            -3   48  -0.1   2.7  0.43  0.03 149.8    2.8 2617.5  1.0  83 
Sgr_B2            -3   66  -0.1   3.7  0.18  0.02   6.6    3.6 1534.7  0.9  82 
Sgr_B2            -3   84  -0.1   4.7  0.58  0.06  25.7    2.9  947.1  0.9  63 
Sgr_B2            -3  101  -0.1   5.7  0.86  0.09  20.0    3.1  803.3  2.1  48 
Sgr_B2            -3  119  -0.1   6.7  0.93  0.18  31.4    5.5  550.9 16.4  40 
Sgr_B2            -3  137  -0.1   7.7  1.53  0.38  27.8    7.1  394.6 14.1  19 
Sgr_B2             0 -161   0.0  -9.1  1.53  0.26 124.2    5.1  399.8  4.9   6 
Sgr_B2             0 -144   0.0  -8.1  0.89  0.13 146.0    4.3  518.8  1.5  25 
Sgr_B2             0 -126   0.0  -7.1  0.67  0.12 127.1    5.1  496.5  0.8  51 
Sgr_B2             0 -108   0.0  -6.1  0.45  0.11 132.3    6.7  535.8  0.8  51 
Sgr_B2             0  -90   0.0  -5.1  0.44  0.09  45.4    5.8  646.6  0.8  51 
Sgr_B2             0  -72   0.0  -4.1  0.59  0.07  36.6    3.5  856.6  0.8  52 
Sgr_B2             0  -55   0.0  -3.1  0.47  0.06  35.8    3.7 1239.9  2.0  19 
Sgr_B2             0  -53   0.0  -3.0  0.52  0.08  51.4    6.7 1335.6  3.2  39 
Sgr_B2             0  -36   0.0  -2.0  0.57  0.05  48.1    1.6 1834.8  1.7  80 
Sgr_B2             0  -18   0.0  -1.0  0.32  0.03  68.4    2.9 2004.3  2.2 102 
Sgr_B2             0    0   0.0   0.0  0.17  0.04 167.2    6.2 3300.0  2.6 105 
Sgr_B2             0   18   0.0   1.0  0.26  0.03 179.6    4.6 1958.2  2.0 103 
Sgr_B2             0   36   0.0   2.0  0.24  0.05 141.3    9.2 1934.6  2.1 104 
Sgr_B2             0   53   0.0   3.0  0.27  0.07 160.0    6.4 2349.6  7.2  46 
Sgr_B2             0   71   0.0   4.0  0.32  0.28  32.8   34.8 1498.8 37.1   4 
Sgr_B2            15  -23   0.9  -1.3  0.77  0.05  45.8    1.8 1194.6  1.4  18 
Sgr_B2            15   -5   0.9  -0.3  0.36  0.03  57.4    2.4 1550.8  1.1  35 
Sgr_B2            15   12   0.9   0.7  0.38  0.03  49.5    2.1 1458.5  0.9  40 
Sgr_B2            15   30   0.9   1.7  0.40  0.03  52.7    2.3 1165.2  1.4  60 
Sgr_B2            15   48   0.9   2.7  0.51  0.04  64.6    2.5 1322.5  0.9  83 
Sgr_B2            15   66   0.9   3.7  0.89  0.06  66.2    1.9 1066.5  0.8  81 
Sgr_B2            15   84   0.9   4.7  0.88  0.11  62.9    3.5  941.7  0.9  63 
Sgr_B2            15  101   0.9   5.7  0.75  0.09  44.4    3.4  844.2  2.2  48 
Sgr_B2            15  119   0.9   6.7  0.70  0.17  40.2    7.0  562.3 13.4  43 
Sgr_B2            15  137   0.9   7.7  0.92  0.35  22.2   10.8  393.2 14.5  23 
Sgr_B2            18 -161   1.0  -9.1  0.39  0.25   3.6   18.8  463.3  5.2   6 
Sgr_B2            18 -144   1.0  -8.1  0.46  0.13 144.7    7.9  475.1  1.0  38 
Sgr_B2            18 -126   1.0  -7.1  0.38  0.13  74.0    9.4  477.7  1.1  38 
Sgr_B2            18 -108   1.0  -6.1  0.73  0.12  58.3    4.5  540.7  1.0  38 
Sgr_B2            18  -90   1.0  -5.1  1.14  0.09  44.2    2.2  696.3  1.0  38 
Sgr_B2            18  -72   1.0  -4.1  1.23  0.07  31.3    1.6  931.4  1.1  38 
Sgr_B2            18  -55   1.0  -3.1  1.37  0.07  35.7    1.4 1090.9  1.4  32 
Sgr_B2            18  -53   1.0  -3.0  1.25  0.11  39.7    3.1 1216.2  3.1  39 
Sgr_B2            18  -36   1.0  -2.0  1.02  0.07  48.9    1.7 1318.8  2.2  93 
Sgr_B2            18  -18   1.0  -1.0  0.62  0.03  64.1    1.4 1307.8  1.8  97 
Sgr_B2            18    0   1.0   0.0  0.51  0.04  62.7    2.8 1640.2  2.0  97 
Sgr_B2            18   18   1.0   1.0  0.65  0.04  68.5    1.8 1171.7  1.8  96 
Sgr_B2            18   36   1.0   2.0  0.70  0.04  71.2    1.6 1160.1  1.8  97 
Sgr_B2            18   53   1.0   3.0  0.89  0.07  73.4    1.8 1187.9  3.6  53 
Sgr_B2            18   71   1.0   4.0  0.99  0.30  84.9    8.1 1257.6 36.7   4 
Sgr_B2            33  -23   1.9  -1.3  0.91  0.09  57.7    3.0  771.8  2.5   9 
Sgr_B2            33   -5   1.9  -0.3  0.64  0.06  67.6    2.6  823.8  0.8  25 
Sgr_B2            33   12   1.9   0.7  0.79  0.05  69.6    1.9  741.0  0.6  35 
Sgr_B2            33   30   1.9   1.7  0.99  0.06  65.8    1.7  809.0  2.0  53 
Sgr_B2            33   48   1.9   2.7  1.13  0.08  71.7    2.4  832.7  1.0  75 
Sgr_B2            33   66   1.9   3.7  1.24  0.05  77.8    1.3  911.4  0.8  72 
Sgr_B2            33   84   1.9   4.7  1.28  0.13  71.0    2.5  921.2  1.2  54 
Sgr_B2            33  101   1.9   5.7  0.73  0.14  63.4    5.3  745.1 17.3  44 
Sgr_B2            33  119   1.9   6.7  0.89  0.20  30.6    6.3  555.1 14.4  37 
Sgr_B2            33  137   1.9   7.7  1.41  0.39  32.8    7.9  377.4 13.1  16 
Sgr_B2            36 -161   2.0  -9.1  1.12  0.31  58.9    7.9  417.5  8.4   4 
Sgr_B2            36 -144   2.0  -8.1  1.15  0.20  66.7    4.9  391.0  1.6  23 
Sgr_B2            36 -126   2.0  -7.1  1.53  0.15  59.1    2.9  410.3  1.0  38 
Sgr_B2            36 -108   2.0  -6.1  1.16  0.14  52.5    3.5  478.1  1.0  38 
Sgr_B2            36  -90   2.0  -5.1  1.46  0.12  43.6    2.5  573.5  1.0  38 
Sgr_B2            36  -72   2.0  -4.1  1.83  0.10  43.1    1.5  633.5  1.1  36 
Sgr_B2            36  -55   2.0  -3.1  1.44  0.18  39.9    3.6  666.4  2.5  17 
Sgr_B2            36  -53   2.0  -3.0  1.56  0.12  42.1    2.4 1094.7  7.2  14 
Sgr_B2            36  -36   2.0  -2.0  0.97  0.06  57.2    1.9  841.8  2.5  64 
Sgr_B2            36  -18   2.0  -1.0  0.83  0.04  63.1    1.6  920.3  2.1  93 
Sgr_B2            36    0   2.0   0.0  0.79  0.06  69.5    2.0  947.2  1.7  97 
Sgr_B2            36   18   2.0   1.0  0.95  0.08  71.9    1.9  886.7  1.9  97 
Sgr_B2            36   36   2.0   2.0  1.25  0.06  73.1    1.3  864.1  2.4  73 
Sgr_B2            36   53   2.0   3.0  1.14  0.11  77.0    2.6  824.8  4.5  29 
Sgr_B2            51   -5   2.9  -0.3  0.96  0.14  82.0    4.1  565.2  2.3   9 
Sgr_B2            51   12   2.9   0.7  1.14  0.14  73.1    3.5  518.8  1.3  15 
Sgr_B2            51   30   2.9   1.7  0.98  0.16  79.6    6.0  624.3  4.3  22 
Sgr_B2            51   48   2.9   2.7  1.15  0.11  80.9    2.8  595.5  1.6  35 
Sgr_B2            51   66   2.9   3.7  1.46  0.14  73.9    2.7  631.6  2.0  36 
Sgr_B2            51   84   2.9   4.7  1.49  0.16  68.4    3.1  676.0 15.4  30 
Sgr_B2            51  101   2.9   5.7  1.02  0.19  67.0    5.3  658.5 16.3  30 
Sgr_B2            51  119   2.9   6.7  0.83  0.28  11.3    9.4  492.4 12.5  23 
Sgr_B2            51  137   2.9   7.7  0.50  0.67 154.4   38.4  403.9  9.9   7 
Sgr_B2            53 -144   3.0  -8.1  0.94  0.25  80.3    7.6  523.9  4.8  17 
Sgr_B2            53 -126   3.0  -7.1  1.96  0.31  73.8    4.6  269.0  1.9  21 
Sgr_B2            53 -108   3.0  -6.1  2.38  0.33  62.5    3.9  312.0  1.9  21 
Sgr_B2            53  -90   3.0  -5.1  2.17  0.31  49.3    4.1  351.8  1.9  21 
Sgr_B2            53  -72   3.0  -4.1  1.57  0.29  42.4    5.2  397.3  2.4  17 
Sgr_B2            53  -55   3.0  -3.1  1.01  0.55  60.7   15.8  481.8  3.4  13 
Sgr_B2            53  -36   3.0  -2.0  1.08  0.13  68.4    3.3  764.0  4.7  27 
Sgr_B2            53  -18   3.0  -1.0  0.85  0.10  69.4    3.2  696.3  2.9  39 
Sgr_B2            53    0   3.0   0.0  0.96  0.11  75.6    2.8  727.6  2.9  39 
Sgr_B2            53   18   3.0   1.0  1.25  0.15  75.6    2.6  667.7  2.9  39 
Sgr_B2            53   36   3.0   2.0  1.36  0.14  79.5    4.0  583.9  4.6  25 
Sgr_B2            53   53   3.0   3.0  0.62  0.19  93.3    9.0  675.8  6.3  13 
Sgr_B2            69   48   3.9   2.7  0.90  0.40  50.7   12.8  606.2  9.0   7 
Sgr_B2            69   66   3.9   3.7  1.48  0.26  69.0    5.0  604.4  4.7  14 
Sgr_B2            69   84   3.9   4.7  1.51  0.29  69.7    5.5  625.9  4.7  14 
Sgr_B2            69  101   3.9   5.7  0.41  0.35  94.4   24.7  568.1  4.8  14 
Sgr_B2            69  119   3.9   6.7  0.68  0.52  15.5   22.0  473.8 10.0   7 
Sgr_B2            71 -144   4.0  -8.1  1.13  2.02  10.8   51.1  131.4  3.3  13 
Sgr_B2            71 -126   4.0  -7.1  4.09  1.78  80.1   12.5  161.6  3.5  13 
Sgr_B2            71 -108   4.0  -6.1  5.95  1.52  68.2    7.1  183.2  3.5  13 
Sgr_B2            71  -90   4.0  -5.1  3.57  1.12  47.4    8.9  240.0  3.3  13 
Sgr_B2            71  -72   4.0  -4.1  2.67  0.97  71.1   10.5  294.6  3.1  13 
Sgr_B2            71  -55   4.0  -3.1  2.04  0.80  45.1   11.2  358.1  3.2  13 
Sgr_B2            71  -36   4.0  -2.0  2.21  0.33  62.8    4.7  445.9  5.6  13 
Sgr_B2            71  -18   4.0  -1.0  1.67  0.43  68.2    7.5  466.2  5.7  13 
Sgr_B2            71    0   4.0   0.0  1.14  0.25  75.1    6.3  514.4  5.8  13 
Sgr_B2            71   18   4.0   1.0  0.27  0.34 132.8   25.7  539.8  6.1  13 
Sgr_B2            71   36   4.0   2.0  0.84  0.43  99.3   24.4  524.4  6.1  13 
Sgr_B2            71   53   4.0   3.0  0.92  0.25  91.1    7.6  564.9  6.3  13 
Sgr_B2            89 -126   5.0  -7.1  8.48  2.36  69.9    7.8  122.3  3.5  13 
Sgr_B2            89 -108   5.0  -6.1  5.00  2.07  39.8   11.9  148.9  3.7  13 
Sgr_B2            89  -90   5.0  -5.1  4.66  1.75  51.4   10.7  175.1  3.5  13 
Sgr_B2            89  -72   5.0  -4.1  3.82  1.56  60.1   11.8  208.7  3.5  13 
Sgr_B2            89  -18   5.0  -1.0  1.47  0.37  72.6    7.2  342.2  5.6  13 
Sgr_B2            89    0   5.0   0.0  1.56  0.33  81.1    6.1  373.0  5.7  13 
Sgr_B2            89   18   5.0   1.0  1.39  0.46  77.2    9.5  428.4  6.2  13 
Sgr_B2            89   36   5.0   2.0  1.75  0.31  88.7    5.1  416.9  6.2  13 
W33_C            -53  -36  -3.0  -2.0  0.67  0.29  17.0   14.4  129.0  1.8   5 
W33_C            -53  -18  -3.0  -1.0  0.69  0.21  15.3   10.1  120.8  1.0  13 
W33_C            -53    0  -3.0   0.0  0.59  0.26  26.3   11.9  101.7  1.4  13 
W33_C            -53   18  -3.0   1.0  1.09  0.19  32.7    6.4  103.2  1.8  13 
W33_C            -53   36  -3.0   2.0  1.23  0.25  32.5    6.1   95.6  2.0   9 
W33_C            -36  -53  -2.0  -3.0  0.57  0.20  91.0   10.1  166.4  1.7   4 
W33_C            -36  -36  -2.0  -2.0  0.41  0.12  68.5    8.4  194.3  1.3  15 
W33_C            -36  -18  -2.0  -1.0  0.28  0.23  31.6   16.3  220.0  1.4  21 
W33_C            -36    0  -2.0   0.0  0.56  0.26  29.3   11.9  176.2  1.6  21 
W33_C            -36   18  -2.0   1.0  0.81  0.12  31.1    4.2  155.8  1.0  21 
W33_C            -36   36  -2.0   2.0  0.60  0.14  46.4   18.7  131.3  1.7  19 
W33_C            -36   53  -2.0   3.0  0.58  0.24  47.3   24.2  109.1  2.1   9 
W33_C            -18  -53  -1.0  -3.0  0.52  0.28  59.5   15.4  261.1 24.0   6 
W33_C            -18  -36  -1.0  -2.0  0.22  0.10  44.6   23.7  206.0  1.3  21 
W33_C            -18  -18  -1.0  -1.0  0.19  0.10  53.4   10.4  299.7  1.0  21 
W33_C            -18    0  -1.0   0.0  0.49  0.11  42.7    3.4  297.0  1.7  21 
W33_C            -18   18  -1.0   1.0  0.84  0.11  48.7    5.8  270.9  1.8  21 
W33_C            -18   36  -1.0   2.0  0.86  0.08  45.2    6.0  207.3  1.7  21 
W33_C            -18   53  -1.0   3.0  1.11  0.24  50.8    4.0  139.4  1.8  14 
W33_C             -0  -53   0.0  -3.0  0.50  0.27  52.2   17.7  269.1 23.6   6 
W33_C             -0  -36   0.0  -2.0  0.36  0.09  61.7    8.9  223.3  1.4  23 
W33_C             -0  -18   0.0  -1.0  0.29  0.22  69.6   21.4  422.3  3.0  25 
W33_C              0    0   0.0   0.0  0.28  0.07  35.9   18.1  460.0  2.4  25 
W33_C              0   18   0.0   1.0  0.96  0.10  52.4    3.5  395.0  1.9  25 
W33_C              0   36   0.0   2.0  1.13  0.10  59.8    2.2  265.1  1.7  23 
W33_C              0   53   0.0   3.0  1.02  0.24  64.2    7.2  144.2  1.8  14 
W33_C             18  -53   1.0  -3.0  0.24  0.15  62.1   17.8  267.2 24.2   8 
W33_C             18  -36   1.0  -2.0  0.27  0.07  35.3    6.8  251.2  2.2  24 
W33_C             18  -18   1.0  -1.0  0.30  0.10 152.5    8.3  409.3  1.0  25 
W33_C             18   -0   1.0   0.0  0.11  0.19  74.7   41.1  481.1  1.0  24 
W33_C             18   18   1.0   1.0  1.04  0.14  64.7    4.3  421.0  1.6  25 
W33_C             18   36   1.0   2.0  0.91  0.13  62.2    3.3  273.0  1.8  25 
W33_C             18   53   1.0   3.0  0.98  0.16  78.0    5.3  130.7  3.3  15 
W33_C             36  -53   2.0  -3.0  1.15  0.32   5.2    7.8  241.7 20.4   4 
W33_C             36  -36   2.0  -2.0  0.21  0.09 179.2   11.5  288.0 23.1  15 
W33_C             36  -18   2.0  -1.0  0.26  0.14 149.5   13.3  264.7  2.0  24 
W33_C             36   -0   2.0   0.0  0.35  0.11 116.4    9.2  309.9  2.3  24 
W33_C             36   18   2.0   1.0  0.58  0.14  73.9    5.5  279.0  2.6  24 
W33_C             36   36   2.0   2.0  0.66  0.14  78.1    4.8  182.7  2.9  19 
W33_C             36   53   2.0   3.0  0.53  0.32  84.2   17.2  121.2  1.3   7 
W33_C             53  -36   3.0  -2.0  0.72  0.25  27.9    9.9  198.0 20.6   6 
W33_C             53  -18   3.0  -1.0  0.62  0.13 173.9    6.3  220.8 22.6  11 
W33_C             53   -0   3.0   0.0  0.49  0.12 146.2    6.8  246.1 24.4  11 
W33_C             53   18   3.0   1.0  0.55  0.16 148.3    8.0  256.0 25.3  11 
W33_C             53   36   3.0   2.0  0.68  0.22  89.1    9.3  153.0  1.1   9 
W33_C             71  -36   4.0  -2.0  1.19  0.35   8.9    8.3  113.8  1.1   4 
W33_C             71  -18   4.0  -1.0  0.16  0.35 164.6   62.4  123.0  1.2   4 
W33_C             71   -0   4.0   0.0  0.79  0.32 166.0   11.7  126.2  1.4   4 
W33_C             71   18   4.0   1.0  0.84  0.35 142.4   12.1  146.6  1.6   4 
W33_C             71   36   4.0   2.0  1.56  0.53 128.3    9.6  135.4  1.4   4 
W33_C             89  -18   5.0  -1.0  1.23  0.51 155.8   12.0   77.0  1.0   4 
W33_C             89   -0   5.0   0.0  1.21  0.47 148.3   11.2   81.3  1.1   4 
W33_C             89   18   5.0   1.0  0.70  0.58 138.7   23.8   85.1  1.4   4 
